metal,date,cash,three_month,stock,cash_return,vol_30d,basis,stock_change,year
aluminium,2008-01-02,236550.0,241300.0,929450.0,,,4750.0,,2008
aluminium,2008-01-03,242200.0,247050.0,929500.0,0.023885013739167293,,4850.0,50.0,2008
aluminium,2008-01-04,244700.0,249800.0,933750.0,0.010322047894302244,,5100.0,4250.0,2008
aluminium,2008-01-07,240400.0,245900.0,934350.0,-0.017572537801389454,,5500.0,600.0,2008
aluminium,2008-01-08,244200.0,249150.0,935150.0,0.01580698835274541,,4950.0,800.0,2008
aluminium,2008-01-09,245050.0,250200.0,935525.0,0.0034807534807534957,,5150.0,375.0,2008
aluminium,2008-01-10,241550.0,246700.0,936475.0,-0.014282799428688042,,5150.0,950.0,2008
aluminium,2008-01-11,241700.0,247500.0,939325.0,0.0006209894431794538,,5800.0,2850.0,2008
aluminium,2008-01-14,247050.0,252500.0,940050.0,0.02213487794786917,,5450.0,725.0,2008
aluminium,2008-01-15,246050.0,250700.0,941225.0,-0.004047763610605104,,4650.0,1175.0,2008
aluminium,2008-01-16,242300.0,247200.0,944075.0,-0.015240804714488965,,4900.0,2850.0,2008
aluminium,2008-01-17,241250.0,246000.0,947625.0,-0.004333470903838177,,4750.0,3550.0,2008
aluminium,2008-01-18,240000.0,244000.0,947450.0,-0.005181347150259086,,4000.0,-175.0,2008
aluminium,2008-01-21,237150.0,241900.0,949475.0,-0.011874999999999969,,4750.0,2025.0,2008
aluminium,2008-01-22,235900.0,240100.0,948600.0,-0.005270925574530905,,4200.0,-875.0,2008
aluminium,2008-01-23,237100.0,241300.0,948000.0,0.005086901229334417,,4200.0,-600.0,2008
aluminium,2008-01-24,241100.0,245500.0,946550.0,0.016870518768452136,,4400.0,-1450.0,2008
aluminium,2008-01-25,248300.0,251800.0,945075.0,0.029863127333056738,,3500.0,-1475.0,2008
aluminium,2008-01-28,244700.0,249300.0,952150.0,-0.014498590414820822,,4600.0,7075.0,2008
aluminium,2008-01-29,255500.0,259200.0,953175.0,0.044135676338373564,,3700.0,1025.0,2008
aluminium,2008-01-30,263100.0,233900.0,955350.0,0.02974559686888445,,-29200.0,2175.0,2008
aluminium,2008-01-31,264300.0,268500.0,956625.0,0.004561003420752607,,4200.0,1275.0,2008
aluminium,2008-02-01,267600.0,272050.0,956475.0,0.012485811577752637,,4450.0,-150.0,2008
aluminium,2008-02-04,262850.0,267300.0,954850.0,-0.01775037369207777,,4450.0,-1625.0,2008
aluminium,2008-02-05,259750.0,263850.0,954450.0,-0.011793798744531125,,4100.0,-400.0,2008
aluminium,2008-02-06,259150.0,263200.0,953575.0,-0.002309913378248263,,4050.0,-875.0,2008
aluminium,2008-02-07,260100.0,264300.0,953575.0,0.0036658306000385554,,4200.0,0.0,2008
aluminium,2008-02-08,268000.0,270900.0,953450.0,0.030372933487120335,,2900.0,-125.0,2008
aluminium,2008-02-11,266800.0,270800.0,953300.0,-0.004477611940298498,,4000.0,-150.0,2008
aluminium,2008-02-12,263750.0,268050.0,956150.0,-0.011431784107945986,,4300.0,2850.0,2008
aluminium,2008-02-13,260800.0,265000.0,957900.0,-0.011184834123222798,0.016767315514692932,4200.0,1750.0,2008
aluminium,2008-02-14,273800.0,278500.0,956075.0,0.049846625766871266,0.018447221196153614,4700.0,-1825.0,2008
aluminium,2008-02-15,281250.0,285300.0,954200.0,0.027209642074506935,0.018890965558402036,4050.0,-1875.0,2008
aluminium,2008-02-18,279600.0,283800.0,952425.0,-0.005866666666666687,0.018529912862732815,4200.0,-1775.0,2008
aluminium,2008-02-19,280600.0,284650.0,951725.0,0.003576537911301969,0.018422991883970896,4050.0,-700.0,2008
aluminium,2008-02-20,281250.0,,952725.0,0.002316464718460365,0.01842710077482146,,1000.0,2008
aluminium,2008-02-21,286500.0,,952725.0,0.01866666666666661,0.018233579217382306,,0.0,2008
aluminium,2008-02-22,286550.0,,951250.0,0.00017452006980800405,0.018238187101800665,,-1475.0,2008
aluminium,2008-02-25,285750.0,,950900.0,-0.0027918338858837766,0.01803731948608054,,-350.0,2008
aluminium,2008-02-26,287700.0,,950200.0,0.006824146981627255,0.01795794733648188,,-700.0,2008
