metal,date,cash,three_month,stock,cash_return,vol_30d,basis,stock_change,year
copper,2008-01-02,666600.0,670600.0,198925.0,,,4000.0,,2008
copper,2008-01-03,676500.0,681800.0,198175.0,0.014851485148514865,,5300.0,-750.0,2008
copper,2008-01-04,699050.0,703500.0,198600.0,0.03333333333333344,,4450.0,425.0,2008
copper,2008-01-07,691550.0,695050.0,201000.0,-0.010728846291395477,,3500.0,2400.0,2008
copper,2008-01-08,710600.0,714050.0,200975.0,0.02754681512544277,,3450.0,-25.0,2008
copper,2008-01-09,735100.0,737050.0,200750.0,0.03447790599493383,,1950.0,-225.0,2008
copper,2008-01-10,712050.0,713500.0,199650.0,-0.03135627805740715,,1450.0,-1100.0,2008
copper,2008-01-11,719600.0,722000.0,199275.0,0.010603187978372342,,2400.0,-375.0,2008
copper,2008-01-14,736100.0,739050.0,198600.0,0.022929405225124988,,2950.0,-675.0,2008
copper,2008-01-15,722550.0,725100.0,194100.0,-0.018407825023773916,,2550.0,-4500.0,2008
copper,2008-01-16,702000.0,702200.0,191050.0,-0.02844093834336725,,200.0,-3050.0,2008
copper,2008-01-17,712150.0,712550.0,185550.0,0.014458689458689555,,400.0,-5500.0,2008
copper,2008-01-18,706200.0,705500.0,183225.0,-0.008354981394369188,,-700.0,-2325.0,2008
copper,2008-01-21,691000.0,689500.0,180900.0,-0.021523647691871983,,-1500.0,-2325.0,2008
copper,2008-01-22,692000.0,685000.0,178850.0,0.0014471780028944004,,-7000.0,-2050.0,2008
copper,2008-01-23,700050.0,698000.0,176175.0,0.011632947976878638,,-2050.0,-2675.0,2008
copper,2008-01-24,709200.0,707000.0,174300.0,0.013070494964645407,,-2200.0,-1875.0,2008
copper,2008-01-25,712000.0,712600.0,172775.0,0.003948110547095318,,600.0,-1525.0,2008
copper,2008-01-28,689300.0,691000.0,171675.0,-0.031882022471910076,,1700.0,-1100.0,2008
copper,2008-01-29,717100.0,717900.0,171275.0,0.040330770346728606,,800.0,-400.0,2008
copper,2008-01-30,716500.0,719000.0,170650.0,-0.0008367033886487185,,2500.0,-625.0,2008
copper,2008-01-31,717050.0,717000.0,178775.0,0.0007676203768318679,,-50.0,8125.0,2008
copper,2008-02-01,734500.0,733900.0,177800.0,0.024335820375148254,,-600.0,-975.0,2008
copper,2008-02-04,729500.0,729500.0,177050.0,-0.006807351940095296,,0.0,-750.0,2008
copper,2008-02-05,720200.0,722500.0,174775.0,-0.012748457847840955,,2300.0,-2275.0,2008
copper,2008-02-06,718100.0,719000.0,171975.0,-0.002915856706470432,,900.0,-2800.0,2008
copper,2008-02-07,735000.0,736000.0,171975.0,0.023534326695446417,,1000.0,0.0,2008
copper,2008-02-08,761200.0,756000.0,169475.0,0.03564625850340142,,-5200.0,-2500.0,2008
copper,2008-02-11,782050.0,779000.0,164125.0,0.027390961639516487,,-3050.0,-5350.0,2008
