metal,date,cash,three_month,stock,cash_return,vol_30d,basis,stock_change,year
lead,2008-01-02,258000.0,258000.0,45350.0,,,0.0,,2008
lead,2008-01-03,259300.0,260100.0,46750.0,0.005038759689922401,,800.0,1400.0,2008
lead,2008-01-04,266500.0,267000.0,46850.0,0.02776706517547245,,500.0,100.0,2008
lead,2008-01-07,260100.0,261100.0,48900.0,-0.024015009380863095,,1000.0,2050.0,2008
lead,2008-01-08,258050.0,260000.0,49200.0,-0.007881584006151465,,1950.0,300.0,2008
lead,2008-01-09,263000.0,262050.0,49300.0,0.019182329006006693,,-950.0,100.0,2008
lead,2008-01-10,252550.0,253550.0,49325.0,-0.03973384030418248,,1000.0,25.0,2008
lead,2008-01-11,255100.0,256500.0,49250.0,0.010097010492971625,,1400.0,-75.0,2008
lead,2008-01-14,264000.0,266100.0,48950.0,0.03488827910623282,,2100.0,-300.0,2008
lead,2008-01-15,268000.0,268550.0,49325.0,0.015151515151515138,,550.0,375.0,2008
lead,2008-01-16,261000.0,261100.0,49300.0,-0.026119402985074647,,100.0,-25.0,2008
lead,2008-01-17,261000.0,261950.0,48650.0,0.0,,950.0,-650.0,2008
lead,2008-01-18,255000.0,254000.0,48050.0,-0.02298850574712641,,-1000.0,-600.0,2008
lead,2008-01-21,251350.0,251650.0,47925.0,-0.01431372549019605,,300.0,-125.0,2008
lead,2008-01-22,248000.0,248200.0,48100.0,-0.013328028645315348,,200.0,175.0,2008
lead,2008-01-23,254050.0,255500.0,48075.0,0.024395161290322598,,1450.0,-25.0,2008
lead,2008-01-24,257950.0,259000.0,47900.0,0.015351308797480812,,1050.0,-175.0,2008
lead,2008-01-25,265050.0,267000.0,47800.0,0.027524714091878177,,1950.0,-100.0,2008
lead,2008-01-28,258650.0,260500.0,47075.0,-0.024146387474061504,,1850.0,-725.0,2008
lead,2008-01-29,273000.0,274000.0,48900.0,0.05548037889039237,,1000.0,1825.0,2008
lead,2008-01-30,274100.0,275500.0,49100.0,0.004029304029304015,,1400.0,200.0,2008
lead,2008-01-31,274150.0,275100.0,48700.0,0.00018241517694272957,,950.0,-400.0,2008
lead,2008-02-01,284500.0,285500.0,48525.0,0.03775305489695424,,1000.0,-175.0,2008
lead,2008-02-04,286500.0,285100.0,48700.0,0.007029876977152849,,-1400.0,175.0,2008
lead,2008-02-05,277000.0,277000.0,49075.0,-0.03315881326352532,,0.0,375.0,2008
lead,2008-02-06,280000.0,279600.0,49000.0,0.010830324909747224,,-400.0,-75.0,2008
lead,2008-02-07,278600.0,277550.0,49000.0,-0.0050000000000000044,,-1050.0,0.0,2008
lead,2008-02-08,288000.0,288500.0,49000.0,0.033740129217516124,,500.0,0.0,2008
lead,2008-02-11,301200.0,300500.0,49050.0,0.04583333333333339,,-700.0,50.0,2008
lead,2008-02-12,303200.0,302150.0,48650.0,0.006640106241699861,,-1050.0,-400.0,2008
lead,2008-02-13,302000.0,302000.0,47800.0,-0.00395778364116095,0.024128608943687065,0.0,-850.0,2008
