metal,date,cash,three_month,stock,cash_return,vol_30d,basis,stock_change,year
tin,2008-01-02,1605500.0,1624500.0,12150.0,,,19000.0,,2008
tin,2008-01-03,1635500.0,1645000.0,12115.0,0.018685767673621845,,9500.0,-35.0,2008
tin,2008-01-04,1655000.0,1658000.0,12080.0,0.011922959339651484,,3000.0,-35.0,2008
tin,2008-01-07,1620000.0,1630000.0,12060.0,-0.02114803625377648,,10000.0,-20.0,2008
tin,2008-01-08,1640000.0,1645000.0,12060.0,0.012345679012345734,,5000.0,0.0,2008
tin,2008-01-09,1645000.0,1655000.0,12060.0,0.0030487804878047697,,10000.0,0.0,2008
tin,2008-01-10,1615000.0,1630000.0,11995.0,-0.018237082066869248,,15000.0,-65.0,2008
tin,2008-01-11,1617500.0,1632500.0,11935.0,0.001547987616099089,,15000.0,-60.0,2008
tin,2008-01-14,1635000.0,1649000.0,11820.0,0.010819165378670892,,14000.0,-115.0,2008
tin,2008-01-15,1614500.0,1630000.0,11785.0,-0.012538226299694144,,15500.0,-35.0,2008
tin,2008-01-16,1606000.0,1625000.0,11740.0,-0.005264787860018605,,19000.0,-45.0,2008
tin,2008-01-17,1635000.0,1642500.0,12005.0,0.018057285180572924,,7500.0,265.0,2008
tin,2008-01-18,1645000.0,1645000.0,12010.0,0.006116207951070374,,0.0,5.0,2008
tin,2008-01-21,1617500.0,1630000.0,12015.0,-0.016717325227963542,,12500.0,5.0,2008
tin,2008-01-22,1600000.0,1607500.0,11875.0,-0.010819165378670781,,7500.0,-140.0,2008
tin,2008-01-23,1634500.0,1632500.0,11825.0,0.02156249999999993,,-2000.0,-50.0,2008
tin,2008-01-24,1655000.0,1653500.0,11755.0,0.012542061792597092,,-1500.0,-70.0,2008
tin,2008-01-25,1630000.0,1640000.0,11555.0,-0.015105740181268867,,10000.0,-200.0,2008
tin,2008-01-28,1625000.0,1635000.0,11530.0,-0.0030674846625766694,,10000.0,-25.0,2008
tin,2008-01-29,1657500.0,1668500.0,11680.0,0.020000000000000018,,11000.0,150.0,2008
tin,2008-01-30,1670000.0,1676500.0,11710.0,0.007541478129713397,,6500.0,30.0,2008
tin,2008-01-31,1683500.0,1694500.0,11695.0,0.008083832335329388,,11000.0,-15.0,2008
tin,2008-02-01,1691000.0,1705000.0,11590.0,0.004455004455004463,,14000.0,-105.0,2008
tin,2008-02-04,1678000.0,1686000.0,11575.0,-0.007687758722649374,,8000.0,-15.0,2008
tin,2008-02-05,1660000.0,1670000.0,11555.0,-0.010727056019070313,,10000.0,-20.0,2008
tin,2008-02-06,1668000.0,1677500.0,11530.0,0.004819277108433662,,9500.0,-25.0,2008
tin,2008-02-07,1670000.0,1675500.0,11530.0,0.0011990407673860837,,5500.0,0.0,2008
tin,2008-02-08,1697500.0,1695000.0,11410.0,0.01646706586826352,,-2500.0,-120.0,2008
tin,2008-02-11,1695000.0,1692500.0,11410.0,-0.0014727540500736325,,-2500.0,0.0,2008
tin,2008-02-12,1705500.0,1715000.0,11360.0,0.006194690265486802,,9500.0,-50.0,2008
tin,2008-02-13,1695500.0,1705500.0,11350.0,-0.005863383172090342,0.012228664900776662,10000.0,-10.0,2008
tin,2008-02-14,1700500.0,1712500.0,11430.0,0.0029489826010027365,0.01181392923403998,12000.0,80.0,2008
tin,2008-02-15,1678000.0,1690000.0,11420.0,-0.013231402528668057,0.01193100078041924,12000.0,-10.0,2008
tin,2008-02-18,1700000.0,1702500.0,11235.0,0.013110846245530494,0.011412944636296952,2500.0,-185.0,2008
tin,2008-02-19,1695000.0,1705000.0,10905.0,-0.002941176470588225,0.011260145355980699,10000.0,-330.0,2008
tin,2008-02-20,1700500.0,,10700.0,0.003244837758112018,0.011261335394346766,,-205.0,2008
tin,2008-02-21,1745000.0,,10700.0,0.02616877389003225,0.01153775487177453,,0.0,2008
tin,2008-02-22,1733500.0,,10745.0,-0.0065902578796561695,0.011659542523069315,,45.0,2008
tin,2008-02-25,1753000.0,,10770.0,0.011248918373233385,0.011670531417349061,,25.0,2008
tin,2008-02-26,1772500.0,,10585.0,0.01112378779235601,0.011423731800732828,,-185.0,2008
tin,2008-02-27,1790000.0,,10125.0,0.009873060648801113,0.011372070554176645,,-460.0,2008
tin,2008-02-28,1842500.0,,10180.0,0.029329608938547524,0.012030500695138812,,55.0,2008
tin,2008-02-29,1870000.0,,10000.0,0.014925373134328401,0.012188877478527982,,-180.0,2008
